customer_id,plan,industry,monthly_revenue,signup_date,tenure_weeks,support_tickets_total,nps_score,feature_adoption_rate,churned,churn_week,warning_week
CUST10000,growth,fintech,2999,2023-03-12,19,3,3,0.76,False,,
CUST10001,starter,healthtech,999,2023-04-04,6,5,4,0.71,False,,
CUST10002,growth,logistics,2999,2023-02-13,46,1,5,0.56,False,,
CUST10003,growth,fintech,2999,2023-01-16,34,6,7,0.72,False,,
CUST10004,growth,healthtech,2999,2023-02-10,49,10,3,0.81,False,,
CUST10005,enterprise,edtech,19999,2023-05-03,24,2,7,0.97,False,,
CUST10006,starter,fintech,999,2023-03-03,35,6,2,0.32,False,,
CUST10007,starter,fintech,999,2023-05-12,14,1,5,0.74,False,,
CUST10008,starter,ecommerce,999,2023-06-19,10,10,9,0.34,False,,
CUST10009,pro,fintech,7999,2023-02-12,35,2,7,0.2,False,,
CUST10010,pro,ecommerce,7999,2023-02-15,27,8,9,0.54,False,,
CUST10011,enterprise,edtech,19999,2023-01-09,16,7,2,0.57,False,,
CUST10012,starter,fintech,999,2023-06-22,50,6,8,0.78,False,,
CUST10013,pro,edtech,7999,2023-05-05,15,8,1,0.41,True,15.0,13.0
CUST10014,pro,ecommerce,7999,2023-03-25,11,10,10,0.59,False,,
CUST10015,starter,fintech,999,2023-01-05,34,10,5,0.25,True,34.0,30.0
CUST10016,growth,saas,2999,2023-01-22,48,1,5,0.2,True,48.0,44.0
CUST10017,starter,healthtech,999,2023-04-10,50,2,9,0.99,True,50.0,48.0
CUST10018,growth,ecommerce,2999,2023-04-28,28,10,3,0.73,True,28.0,24.0
CUST10019,pro,logistics,7999,2023-06-29,9,1,7,0.99,True,9.0,6.0
CUST10020,starter,ecommerce,999,2023-03-19,48,9,3,0.69,True,48.0,44.0
CUST10021,enterprise,edtech,19999,2023-03-10,9,9,10,0.14,False,,
CUST10022,starter,logistics,999,2023-04-19,21,4,3,0.18,True,21.0,18.0
CUST10023,growth,fintech,2999,2023-03-12,30,1,2,0.51,False,,
CUST10024,starter,edtech,999,2023-04-02,36,8,4,0.41,False,,
CUST10025,pro,healthtech,7999,2023-01-29,49,1,8,0.9,False,,
CUST10026,starter,fintech,999,2023-02-07,42,10,2,0.44,False,,
CUST10027,starter,healthtech,999,2023-01-17,31,10,5,0.31,False,,
CUST10028,starter,edtech,999,2023-01-06,39,7,9,0.69,False,,
CUST10029,pro,saas,7999,2023-01-16,32,2,9,0.11,True,32.0,30.0
CUST10030,starter,fintech,999,2023-03-25,50,5,9,0.94,False,,
CUST10031,pro,logistics,7999,2023-02-11,48,7,8,0.42,False,,
CUST10032,pro,logistics,7999,2023-05-01,7,6,4,0.32,False,,
CUST10033,enterprise,healthtech,19999,2023-03-03,17,3,4,0.97,False,,
CUST10034,starter,edtech,999,2023-05-16,24,9,6,0.98,False,,
CUST10035,pro,healthtech,7999,2023-01-27,18,8,2,0.6,False,,
CUST10036,growth,saas,2999,2023-04-30,52,8,8,0.75,True,52.0,48.0
CUST10037,pro,fintech,7999,2023-04-29,39,5,3,0.43,True,39.0,35.0
CUST10038,growth,healthtech,2999,2023-03-04,27,10,10,0.41,True,27.0,24.0
CUST10039,enterprise,saas,19999,2023-03-27,43,4,9,0.18,False,,
CUST10040,starter,ecommerce,999,2023-06-14,44,7,6,0.84,False,,
CUST10041,starter,saas,999,2023-03-17,11,7,2,0.42,True,11.0,7.0
CUST10042,growth,saas,2999,2023-01-30,9,9,4,0.65,False,,
CUST10043,pro,healthtech,7999,2023-05-18,44,4,7,0.85,True,44.0,41.0
CUST10044,growth,ecommerce,2999,2023-01-28,31,0,9,0.72,True,31.0,27.0
CUST10045,growth,edtech,2999,2023-02-19,14,4,4,0.45,True,14.0,11.0
CUST10046,starter,ecommerce,999,2023-01-24,9,9,4,0.44,True,9.0,7.0
CUST10047,starter,ecommerce,999,2023-06-15,44,6,2,0.36,True,44.0,40.0
CUST10048,starter,edtech,999,2023-01-11,47,1,10,0.73,True,47.0,43.0
CUST10049,growth,fintech,2999,2023-04-30,38,8,3,0.37,True,38.0,35.0
CUST10050,starter,edtech,999,2023-02-10,19,9,5,0.4,False,,
CUST10051,starter,saas,999,2023-04-28,44,4,6,0.22,False,,
CUST10052,pro,fintech,7999,2023-01-30,16,2,5,0.66,False,,
CUST10053,starter,saas,999,2023-06-30,4,7,1,0.43,True,4.0,1.0
CUST10054,growth,edtech,2999,2023-05-13,13,4,7,0.58,True,13.0,9.0
CUST10055,starter,saas,999,2023-04-05,51,8,1,0.39,False,,
CUST10056,enterprise,healthtech,19999,2023-01-28,32,4,2,0.85,False,,
CUST10057,starter,logistics,999,2023-04-19,27,3,6,0.96,False,,
CUST10058,starter,fintech,999,2023-05-25,25,3,3,0.69,True,25.0,23.0
CUST10059,starter,saas,999,2023-04-24,44,1,5,0.76,False,,
CUST10060,starter,fintech,999,2023-01-23,20,5,8,0.98,True,20.0,18.0
CUST10061,starter,logistics,999,2023-06-25,47,4,6,0.45,True,47.0,43.0
CUST10062,growth,logistics,2999,2023-05-27,50,3,3,0.98,True,50.0,46.0
CUST10063,pro,logistics,7999,2023-01-19,49,10,7,0.33,False,,
CUST10064,pro,fintech,7999,2023-01-30,13,0,3,0.66,False,,
CUST10065,starter,healthtech,999,2023-04-02,36,4,1,0.56,True,36.0,33.0
CUST10066,growth,ecommerce,2999,2023-01-24,23,9,10,0.71,False,,
CUST10067,growth,saas,2999,2023-06-29,42,1,1,0.89,False,,
CUST10068,starter,ecommerce,999,2023-01-14,14,6,4,0.24,True,14.0,11.0
CUST10069,starter,fintech,999,2023-04-20,21,0,8,0.13,False,,
CUST10070,enterprise,fintech,19999,2023-06-21,47,6,1,0.57,False,,
CUST10071,pro,ecommerce,7999,2023-01-02,37,8,6,0.39,False,,
CUST10072,starter,healthtech,999,2023-06-08,16,9,2,0.79,False,,
CUST10073,starter,ecommerce,999,2023-06-20,36,1,10,0.72,False,,
CUST10074,growth,saas,2999,2023-04-22,23,5,6,0.93,True,23.0,20.0
CUST10075,starter,saas,999,2023-04-19,45,7,8,0.9,True,45.0,42.0
CUST10076,enterprise,saas,19999,2023-02-28,44,2,2,0.93,True,44.0,41.0
CUST10077,growth,fintech,2999,2023-03-05,7,5,7,0.55,False,,
CUST10078,starter,saas,999,2023-05-07,38,0,8,0.22,False,,
CUST10079,starter,fintech,999,2023-02-13,40,8,3,0.36,False,,
CUST10080,pro,fintech,7999,2023-03-28,28,3,6,0.96,False,,
CUST10081,growth,saas,2999,2023-06-02,6,7,5,1.0,False,,
CUST10082,growth,ecommerce,2999,2023-06-15,7,4,9,0.2,True,7.0,3.0
CUST10083,pro,saas,7999,2023-02-27,19,5,3,0.59,False,,
CUST10084,pro,saas,7999,2023-04-28,46,0,9,0.7,False,,
CUST10085,growth,healthtech,2999,2023-02-16,20,1,4,0.69,True,20.0,16.0
CUST10086,growth,saas,2999,2023-02-08,14,3,4,0.96,True,14.0,11.0
CUST10087,growth,saas,2999,2023-01-20,33,0,4,0.54,False,,
CUST10088,pro,saas,7999,2023-03-04,48,7,3,0.46,False,,
CUST10089,growth,healthtech,2999,2023-05-17,19,3,5,0.47,False,,
CUST10090,enterprise,edtech,19999,2023-06-04,35,7,5,0.37,False,,
CUST10091,starter,healthtech,999,2023-02-09,35,8,10,0.9,False,,
CUST10092,starter,fintech,999,2023-02-27,40,4,6,0.88,True,40.0,36.0
CUST10093,starter,ecommerce,999,2023-04-14,49,3,4,0.53,False,,
CUST10094,enterprise,ecommerce,19999,2023-06-19,30,4,8,0.16,True,30.0,26.0
CUST10095,starter,ecommerce,999,2023-05-02,8,2,8,0.98,False,,
CUST10096,growth,ecommerce,2999,2023-02-08,36,10,4,0.34,False,,
