customer_id,week,login_frequency,feature_usage_count,session_duration_mins,support_tickets,api_calls,risk_score,is_warning_week,churned_this_week
CUST10000,1,5,3,30,0,124,0.176,0,0
CUST10000,2,5,7,32,0,86,0.224,0,0
CUST10000,3,7,6,20,1,84,0.098,0,0
CUST10000,4,4,3,27,0,72,0.165,0,0
CUST10000,5,4,7,29,0,97,0.1,0,0
CUST10000,6,4,7,25,1,46,0.193,0,0
CUST10000,7,3,6,16,0,93,0.109,0,0
CUST10000,8,6,6,27,0,89,0.081,0,0
CUST10000,9,6,5,24,0,114,0.173,0,0
CUST10000,10,5,3,27,0,40,0.082,0,0
CUST10000,11,4,8,23,0,82,0.14,0,0
CUST10000,12,5,2,9,0,71,0.141,0,0
CUST10000,13,4,5,31,0,75,0.089,0,0
CUST10000,14,6,0,29,0,108,0.059,0,0
CUST10000,15,5,3,29,0,67,0.168,0,0
CUST10000,16,5,7,29,0,112,0.086,0,0
CUST10000,17,3,3,23,0,126,0.099,0,0
CUST10000,18,5,6,14,0,93,0.141,0,0
CUST10000,19,5,7,24,1,114,0.158,0,0
CUST10001,1,4,1,30,0,124,0.205,0,0
CUST10001,2,4,3,13,0,133,0.08,0,0
CUST10001,3,5,1,41,0,70,0.163,0,0
CUST10001,4,6,3,14,0,150,0.104,0,0
CUST10001,5,6,2,17,0,52,0.109,0,0
CUST10001,6,3,0,22,0,108,0.135,0,0
CUST10002,1,3,7,20,1,74,0.13,0,0
CUST10002,2,2,5,40,0,95,0.231,0,0
CUST10002,3,3,7,37,0,198,0.237,0,0
CUST10002,4,6,7,25,0,130,0.155,0,0
CUST10002,5,4,4,20,0,54,0.169,0,0
CUST10002,6,4,4,13,0,170,0.187,0,0
CUST10002,7,3,7,32,0,81,0.144,0,0
CUST10002,8,4,4,24,0,59,0.156,0,0
CUST10002,9,5,5,23,0,121,0.279,0,0
CUST10002,10,4,7,33,0,79,0.183,0,0
CUST10002,11,3,6,31,0,70,0.215,0,0
CUST10002,12,6,7,37,0,86,0.128,0,0
CUST10002,13,2,6,40,0,38,0.156,0,0
CUST10002,14,4,0,32,0,109,0.115,0,0
CUST10002,15,6,9,31,0,127,0.146,0,0
CUST10002,16,4,6,27,0,84,0.101,0,0
CUST10002,17,4,3,14,0,79,0.145,0,0
CUST10002,18,8,4,20,0,109,0.144,0,0
CUST10002,19,5,5,23,0,40,0.158,0,0
CUST10002,20,7,6,26,0,73,0.186,0,0
CUST10002,21,3,3,23,0,52,0.182,0,0
CUST10002,22,7,4,47,0,60,0.158,0,0
CUST10002,23,2,5,24,0,140,0.17,0,0
CUST10002,24,5,7,28,0,67,0.107,0,0
CUST10002,25,6,6,26,0,89,0.156,0,0
CUST10002,26,4,7,29,0,139,0.169,0,0
CUST10002,27,4,5,36,0,134,0.188,0,0
CUST10002,28,1,5,37,0,125,0.193,0,0
CUST10002,29,7,6,18,0,99,0.155,0,0
CUST10002,30,5,5,11,0,38,0.243,0,0
CUST10002,31,4,5,25,0,134,0.154,0,0
CUST10002,32,6,5,11,0,128,0.2,0,0
CUST10002,33,3,10,24,0,134,0.122,0,0
CUST10002,34,3,6,38,0,97,0.168,0,0
CUST10002,35,5,6,24,0,74,0.148,0,0
CUST10002,36,5,3,35,1,110,0.199,0,0
CUST10002,37,7,3,30,0,150,0.264,0,0
CUST10002,38,6,4,29,0,115,0.081,0,0
CUST10002,39,8,0,24,0,90,0.095,0,0
CUST10002,40,5,6,18,1,145,0.196,0,0
CUST10002,41,7,4,34,0,65,0.207,0,0
CUST10002,42,7,6,24,0,2,0.086,0,0
CUST10002,43,2,6,35,0,81,0.205,0,0
CUST10002,44,6,5,30,0,103,0.179,0,0
CUST10002,45,4,6,18,0,108,0.117,0,0
CUST10002,46,6,6,33,0,103,0.216,0,0
CUST10003,1,2,3,29,0,93,0.237,0,0
CUST10003,2,7,3,19,0,95,0.131,0,0
CUST10003,3,5,7,28,0,69,0.207,0,0
CUST10003,4,4,2,21,0,71,0.183,0,0
CUST10003,5,7,5,21,0,85,0.159,0,0
CUST10003,6,2,3,22,0,132,0.073,0,0
CUST10003,7,6,6,24,0,65,0.092,0,0
CUST10003,8,5,2,26,0,82,0.119,0,0
CUST10003,9,4,6,27,0,95,0.089,0,0
CUST10003,10,7,3,26,0,87,0.092,0,0
CUST10003,11,3,7,42,0,84,0.085,0,0
CUST10003,12,7,5,31,0,109,0.229,0,0
CUST10003,13,5,2,21,1,100,0.146,0,0
