customer_id,current_logins,current_feature_usage,current_session_mins,current_api_calls,current_support_tickets,login_trend_3w,feature_trend_3w,session_trend_3w,api_trend_3w,avg_logins_4w,avg_session_4w,avg_api_4w,total_tickets_4w,login_volatility,session_volatility,total_weeks,plan,industry,monthly_revenue,nps_score,feature_adoption_rate,churned,plan_encoded,industry_encoded,churn_probability,risk_level
CUST10000,5,7,24,114,1,0.0,0.0,-1.667,0.667,4.5,22.5,111.25,1,1.0,6.245,19,growth,fintech,2999,3,0.76,False,1,2,0.011588396,Low
CUST10001,3,0,22,108,0,-0.667,-0.333,-6.333,12.667,5.0,23.5,95.0,0,1.414,12.124,6,starter,healthtech,999,4,0.71,False,3,3,0.051054396,Low
CUST10002,6,6,33,103,0,1.333,0.0,-0.667,7.333,4.5,29.0,98.75,0,1.915,7.616,46,growth,logistics,2999,5,0.56,False,1,4,0.00078438077,Low
CUST10003,7,3,24,126,0,1.0,-0.333,-3.0,5.0,5.25,27.25,103.25,0,1.5,5.679,34,growth,fintech,2999,7,0.72,False,1,2,0.00065632653,Low
CUST10004,4,7,33,53,0,0.0,1.0,4.667,-17.0,3.75,24.25,73.5,1,1.258,6.397,49,growth,healthtech,2999,3,0.81,False,1,3,0.05424738,Low
CUST10005,5,17,42,78,0,-0.333,0.0,8.0,-5.667,5.5,29.0,80.25,0,0.577,9.899,24,enterprise,edtech,19999,7,0.97,False,0,1,0.0053848843,Low
CUST10006,8,0,27,135,0,0.667,-1.0,-1.333,25.667,7.0,25.75,108.25,0,1.155,4.573,35,starter,fintech,999,2,0.32,False,3,2,0.00012867284,Low
CUST10007,7,3,16,57,0,0.0,0.0,-2.333,-13.667,6.25,24.0,76.25,0,0.957,6.976,14,starter,fintech,999,5,0.74,False,3,2,0.019067602,Low
CUST10008,4,2,24,78,0,-0.667,0.667,3.0,-10.0,4.5,22.5,104.75,0,1.291,5.802,10,starter,ecommerce,999,9,0.34,False,3,0,0.013190011,Low
CUST10009,5,10,33,63,0,-0.333,1.333,7.0,-17.667,5.5,19.0,106.75,0,0.577,10.488,35,pro,fintech,7999,7,0.2,False,2,2,0.009187702,Low
CUST10010,4,10,20,79,0,-0.333,-0.333,-3.667,-11.333,4.75,22.0,90.25,3,0.957,6.377,27,pro,ecommerce,7999,9,0.54,False,2,0,0.21935906,Low
CUST10011,3,15,31,48,0,-0.333,-1.333,4.333,-5.0,5.0,20.75,96.75,1,2.16,10.046,16,enterprise,edtech,19999,2,0.57,False,0,1,0.05602994,Low
CUST10012,3,1,33,136,0,-0.667,0.333,0.333,10.667,4.5,30.25,121.25,0,1.0,2.754,50,starter,fintech,999,8,0.78,False,3,2,0.0013617884,Low
CUST10013,1,9,24,59,1,-1.667,0.0,-2.0,-12.333,4.5,26.25,88.25,1,2.38,3.862,15,pro,edtech,7999,1,0.41,True,2,1,0.9450202,High
CUST10014,4,10,25,116,0,-0.333,0.667,-0.333,6.667,4.5,24.0,103.75,0,0.577,3.367,11,pro,ecommerce,7999,10,0.59,False,2,0,0.00022727707,Low
CUST10015,4,2,9,48,0,0.667,0.333,-3.333,-18.0,3.5,16.0,77.5,1,1.291,4.967,34,starter,fintech,999,5,0.25,True,3,2,0.9970566,High
CUST10016,4,1,29,58,0,-0.333,-1.667,8.667,-6.333,4.25,23.0,70.75,1,0.957,15.642,48,growth,saas,2999,5,0.2,True,1,5,0.9680988,High
CUST10017,8,0,27,101,0,1.0,0.0,-2.333,11.333,6.0,30.5,88.75,0,1.414,6.028,50,starter,healthtech,999,9,0.99,True,3,3,0.7020078,High
CUST10018,1,5,9,69,1,-1.333,-0.667,-1.0,0.0,2.5,12.75,73.25,1,2.38,2.986,28,growth,ecommerce,2999,3,0.73,True,1,0,0.99884725,High
CUST10019,0,10,13,77,0,-2.667,0.333,-5.667,-21.667,4.25,21.5,96.5,1,3.304,7.047,9,pro,logistics,7999,7,0.99,True,2,4,0.95707476,High
CUST10020,4,0,11,78,1,0.333,0.0,-3.0,-3.667,3.75,14.75,77.25,1,0.957,5.56,48,starter,ecommerce,999,3,0.69,True,3,0,0.99696046,High
