feature,mean_shap
avg_api_4w,1.4585369
avg_logins_4w,1.1886736
current_feature_usage,0.7340536
api_trend_3w,0.66768503
avg_session_4w,0.5885589
current_api_calls,0.54813415
current_logins,0.47653726
total_tickets_4w,0.45160237
session_trend_3w,0.3220007
current_session_mins,0.281188
login_trend_3w,0.2689627
nps_score,0.25212455
session_volatility,0.25089273
feature_adoption_rate,0.20613576
login_volatility,0.1910867
feature_trend_3w,0.19048987
total_weeks,0.15812212
industry_encoded,0.119519226
current_support_tickets,0.10532846
plan_encoded,0.058848135
monthly_revenue,0.012506372
